"","hgnc_symbol","entrez_gene_id","gene_biotype","percentage_gc_content","transcript_count","chromosome_name","start_position","end_position","strand","cds_length","three_prime_utr_length","transcription_factor","transcription_cofactor","chromatin_remodeller","plasma_membrane","apoptosis","cell_cycle_phase"
"ENSG00000004455","AK2",204,"protein_coding",46.32,15,"1",33007940,33080996,-1,699,2844,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004468","CD38",952,"protein_coding",41.09,5,"4",15778275,15853230,1,369,92,NA,FALSE,FALSE,TRUE,FALSE,"G0"
"ENSG00000004478","FKBP4",2288,"protein_coding",51.56,8,"12",2794953,2805423,1,156,52,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004487","KDM1A",23028,"protein_coding",39.16,6,"1",23019448,23083689,1,568,NA,NA,FALSE,TRUE,FALSE,FALSE,NA
"ENSG00000004534","RBM6",10180,"protein_coding",44.14,20,"3",49940007,50100045,1,2976,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004660","CAMKK1",84254,"protein_coding",57.17,4,"17",3860315,3894891,-1,1599,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004700","RECQL",5965,"protein_coding",37.57,8,"12",21468911,21501669,-1,1950,1282,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004766","CCDC132",55610,"protein_coding",34.83,20,"7",93232340,93361121,1,120,117,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004777","ARHGAP33",115703,"protein_coding",60.93,13,"19",35774532,35788822,1,2247,240,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000004779","NDUFAB1",4706,"protein_coding",48.8,5,"16",23581002,23596356,-1,210,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004809","SLC22A16",85413,"protein_coding",41.33,8,"6",110424687,110476641,-1,801,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000004838","ZMYND10",51364,"protein_coding",57.81,9,"3",50341110,50346852,-1,114,90,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004846","ABCB5",340273,"protein_coding",37.73,6,"7",20615207,20777038,1,945,1060,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000004864","SLC25A13",10165,"protein_coding",39.76,8,"7",96120220,96322147,-1,2028,970,NA,FALSE,FALSE,TRUE,FALSE,"G0"
"ENSG00000004866","ST7",7982,"protein_coding",39.15,30,"7",116953238,117230103,1,1758,926,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004897","CDC27",996,"protein_coding",38.66,19,"17",47117703,47189422,-1,285,208,NA,FALSE,FALSE,FALSE,FALSE,"G2M"
"ENSG00000004939","SLC4A1",6521,"protein_coding",55.8,6,"17",44248385,44268141,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000004961","HCCS",3052,"protein_coding",42.99,3,"X",11111301,11123078,1,807,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004975","DVL2",1856,"protein_coding",55.14,15,"17",7225341,7234545,-1,874,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000005001","PRSS22",64063,"protein_coding",59.35,8,"16",2852727,2858170,-1,624,362,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005007","UPF1",5976,"protein_coding",55.16,13,"19",18831938,18868236,1,3357,1715,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005020","SKAP2",8935,"protein_coding",36.94,9,"7",26667062,26995239,-1,1080,2594,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000005022","SLC25A5",292,"protein_coding",53.25,4,"X",119468400,119471319,1,897,260,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000005059","CCDC109B",55013,"protein_coding",41.01,5,"4",109560205,109688726,1,1011,1133,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005075","POLR2J",5439,"protein_coding",55.04,2,"7",102473118,102478907,-1,477,260,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005100","DHX33",56919,"protein_coding",45.81,5,"17",5440912,5469060,-1,2124,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005108","THSD7A",221981,"protein_coding",35.51,5,"7",11370357,11832198,-1,4974,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000005156","LIG3",3980,"protein_coding",47.23,16,"17",34980494,35009743,1,3030,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005175","RPAP3",79657,"protein_coding",36.57,7,"12",47661249,47706061,-1,1521,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005187","ACSM3",6296,"protein_coding",41.08,15,"16",20610243,20797581,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005189",NA,81691,"protein_coding",39.89,19,"16",20806429,20849668,1,267,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005194","CIAPIN1",57019,"protein_coding",44.41,15,"16",57428169,57447528,-1,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000005206","SPPL2B",56928,"protein_coding",61.06,14,"19",2328615,2354806,1,960,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000005238","FAM214B",80256,"protein_coding",54.68,9,"9",35104112,35116341,-1,1617,1099,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005243","COPZ2",51226,"protein_coding",52.71,10,"17",48026167,48038030,-1,29,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005302","MSL3",10943,"protein_coding",42.85,17,"X",11758159,11775753,1,384,84,NA,FALSE,TRUE,FALSE,FALSE,NA
"ENSG00000005339","CREBBP",1387,"protein_coding",45.01,12,"16",3725054,3880726,-1,7329,NA,NA,TRUE,FALSE,FALSE,FALSE,NA
"ENSG00000005379","BZRAP1",9256,"protein_coding",57.84,11,"17",58301228,58328760,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005381","MPO",4353,"protein_coding",55.13,5,"17",58269856,58280935,-1,2238,NA,NA,FALSE,FALSE,FALSE,FALSE,"G0"
"ENSG00000005421","PON1",5444,"protein_coding",40.5,4,"7",95297676,95324707,-1,234,188,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005436","GCFC2",6936,"protein_coding",36.39,11,"2",75652000,75710989,-1,765,146,"Others",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005448","WDR54",84058,"protein_coding",54.68,13,"2",74421678,74425755,1,735,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005469","CROT",54677,"protein_coding",37.43,7,"7",87345681,87399795,1,1923,836,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005471","ABCB4",5244,"protein_coding",38.6,10,"7",87401697,87480435,-1,3861,46,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000005483","KMT2E",55904,"protein_coding",37.46,17,"7",105014179,105114361,1,435,123,NA,TRUE,FALSE,TRUE,FALSE,NA
"ENSG00000005486","RHBDD2",57414,"protein_coding",47.79,9,"7",75842602,75888926,1,672,576,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005700","IBTK",25998,"protein_coding",36.07,10,"6",82169983,82247754,-1,3459,21,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005801","ZNF195",7748,"protein_coding",41.43,30,"11",3339261,3379222,-1,1686,172,"zf-C2H2",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005810","MYCBP2",23077,"protein_coding",35.72,12,"13",77044655,77327050,-1,251,112,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005812","FBXL3",26224,"protein_coding",38.36,6,"13",76992598,77027195,-1,1287,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005844","ITGAL",3683,"protein_coding",50.46,19,"16",30472658,30523185,1,116,53,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000005882","PDK2",5164,"protein_coding",56.67,16,"17",50094737,50112152,1,777,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005884","ITGA3",3675,"protein_coding",52.64,16,"17",50055968,50090481,1,664,NA,NA,FALSE,FALSE,TRUE,FALSE,"G0"
"ENSG00000005889","ZFX",7543,"protein_coding",40.77,11,"X",24149173,24216255,1,1731,4878,"zf-C2H2",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000005893","LAMP2",3920,"protein_coding",38.79,4,"X",120427827,120469365,-1,776,77,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000005955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000005961","ITGA2B",3674,"protein_coding",54.83,10,"17",44372180,44389505,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,"G0"
"ENSG00000005981","ASB4",51666,"protein_coding",38.27,3,"7",95478444,95540232,1,1050,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006007","GDE1",51573,"protein_coding",40.17,5,"16",19501689,19522145,-1,327,1234,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006015","C19orf60",55049,"protein_coding",60.24,8,"19",18588685,18592336,1,606,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006016","CRLF1",9244,"protein_coding",55.32,5,"19",18572220,18607741,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006025","OSBPL7",114881,"protein_coding",57.86,11,"17",47807372,47821834,-1,2529,99,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006042","TMEM98",26022,"protein_coding",48.47,9,"17",32927910,32945106,1,417,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006047","YBX2",51087,"protein_coding",57.92,7,"17",7288252,7294615,-1,493,107,"CSD",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006062","MAP3K14",9020,"protein_coding",49.97,5,"17",45263121,45317040,-1,2844,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006071","ABCC8",6833,"protein_coding",50,20,"11",17392885,17476845,-1,4749,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000006114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000006116","CACNG3",10368,"protein_coding",44.54,1,"16",24255553,24362801,1,948,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006118","TMEM132A",54972,"protein_coding",58.71,14,"11",60924463,60937159,1,3072,115,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006125","AP2B1",163,"protein_coding",39.93,22,"17",35578046,35726409,1,150,245,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006128","TAC1",6863,"protein_coding",39.8,5,"7",97731908,97740472,1,345,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006194","ZNF263",10127,"protein_coding",47.09,8,"16",3263800,3301401,1,450,10,"zf-C2H2",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006210","CX3CL1",6376,"protein_coding",53.7,4,"16",57372458,57385048,1,1080,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006282","SPATA20",64847,"protein_coding",57.05,26,"17",50543058,50555852,1,2361,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006283","CACNA1G",8913,"protein_coding",56.83,34,"17",50561068,50627474,1,5331,749,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006377","DLX6",1750,"protein_coding",49.51,3,"7",97005548,97011039,1,882,991,"Homeobox",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006432","MAP3K9",4293,"protein_coding",44.98,7,"14",70722526,70809534,-1,2514,713,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000006451","RALA",5898,"protein_coding",39.69,5,"7",39623483,39708124,1,621,1878,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006453","BAIAP2L1",55971,"protein_coding",46.77,5,"7",98291651,98401068,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006459","KDM7A",80853,"protein_coding",39.18,3,"7",140084746,140177035,-1,1214,37,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006530","AGK",55750,"protein_coding",39.59,11,"7",141551189,141655244,1,1269,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006534","ALDH3B1",221,"protein_coding",58.4,10,"11",68008578,68029282,1,1407,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006555","TTC22",55001,"protein_coding",52.26,5,"1",54779712,54801267,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006576","PHTF2",57157,"protein_coding",37.65,12,"7",77798792,77957503,1,2256,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006606","CCL26",10344,"protein_coding",48.09,2,"7",75769533,75789896,-1,285,159,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006607","FARP2",9855,"protein_coding",45.6,23,"2",241356243,241494841,1,3165,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006611","USH1C",10083,"protein_coding",51.78,11,"11",17493895,17544416,-1,1212,109,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006625","GGCT",79017,"protein_coding",40.55,8,"7",30496621,30504844,-1,501,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006634","DBF4",10926,"protein_coding",36.72,8,"7",87876216,87909541,1,135,50,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006638","TBXA2R",6915,"protein_coding",55.77,4,"19",3594506,3606840,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006652","IFRD1",3475,"protein_coding",39.45,17,"7",112422968,112481017,1,92,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006659","LGALS14",56891,"protein_coding",45.3,3,"19",39704306,39709444,1,420,NA,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000006695","COX10",1352,"protein_coding",38.47,4,"17",14069496,14208677,1,507,703,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006704","GTF2IRD1",9569,"protein_coding",52.72,7,"7",74453790,74602604,1,2880,NA,"GTF2I",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006712","PAF1",54623,"protein_coding",52.73,8,"19",39385852,39391195,-1,867,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006715","VPS41",27072,"protein_coding",38.35,14,"7",38722963,38932394,-1,2565,3282,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006740","ARHGAP44",9912,"protein_coding",42.68,12,"17",12789539,12991643,1,537,91,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006744","ELAC2",60528,"protein_coding",48.08,21,"17",12992391,13018187,-1,727,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006747","SCIN",85477,"protein_coding",38.46,10,"7",12570577,12660179,1,2148,7463,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006756","ARSD",414,"protein_coding",48.88,7,"X",2903970,2929351,-1,1782,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006757","PNPLA4",8228,"protein_coding",40.45,4,"X",7898247,7927739,-1,762,1922,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006788","MYH13",8735,"protein_coding",45.69,3,"17",10298084,10373130,-1,5817,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000006831","ADIPOR2",79602,"protein_coding",39.4,7,"12",1688574,1788678,1,1161,2605,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000006837","CDKL3",51265,"protein_coding",40.16,10,"5",134286350,134371047,-1,56,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007001","UPP2",151531,"protein_coding",40.24,4,"2",157876702,158136154,1,1125,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007047","MARK4",57787,"protein_coding",53.57,11,"19",45079288,45305283,1,222,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007062","PROM1",8842,"protein_coding",43.17,20,"4",15963076,16084378,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,"G0"
"ENSG00000007080","CCDC124",115098,"protein_coding",55.84,4,"19",17933016,17943991,1,672,221,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000007129","CEACAM21",90273,"protein_coding",44.66,6,"19",41549518,41586844,1,576,93,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007168","PAFAH1B1",5048,"protein_coding",42.4,13,"17",2593210,2685615,1,627,393,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007174","DNAH9",1770,"protein_coding",42.63,15,"17",11598431,11969748,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007202","KIAA0100",9703,"protein_coding",46.75,16,"17",28614440,28645454,-1,65,145,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007237","GAS7",8522,"protein_coding",47.97,19,"17",9910609,10198551,-1,1239,391,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007255","TRAPPC6A",79090,"protein_coding",56.86,5,"19",45162928,45178237,-1,384,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007264","MATK",4145,"protein_coding",54.4,16,"19",3777970,3802129,-1,115,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000007312","CD79B",974,"protein_coding",60.69,6,"17",63928740,63932354,-1,378,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000007314","SCN4A",6329,"protein_coding",56.1,4,"17",63938554,63972918,-1,5511,2216,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000007341","ST7L",54879,"protein_coding",39.05,28,"1",112523518,112620825,-1,1677,26,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007350","TKTL1",8277,"protein_coding",48.34,8,"X",154295671,154330350,1,1623,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007372","PAX6",5080,"protein_coding",49.68,31,"11",31784792,31817961,-1,6,NA,"PAX",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007376","RPUSD1",113000,"protein_coding",67.17,10,"16",784974,788397,-1,396,1386,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007392","LUC7L",55692,"protein_coding",47.33,21,"16",188969,229463,-1,548,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007402","CACNA2D2",9254,"protein_coding",56.52,8,"3",50362799,50504244,-1,3453,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000007520","TSR3",115939,"protein_coding",62.57,2,"16",1349240,1351911,-1,939,196,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007541","PIGQ",9091,"protein_coding",64.36,16,"16",566995,584136,1,335,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007545","CRAMP1L",57585,"protein_coding",53.11,8,"16",1612325,1677908,1,3810,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007866","TEAD3",7005,"protein_coding",56.75,3,"6",35473597,35497076,-1,1128,1446,"TEA",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007923","DNAJC11",55735,"protein_coding",46.6,11,"1",6634168,6701924,-1,999,357,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007933","FMO3",2328,"protein_coding",36.5,6,"1",171090877,171117819,1,147,62,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000007944","MYLIP",29116,"protein_coding",40.19,2,"6",16129125,16148248,1,795,1496,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000007952","NOX1",27035,"protein_coding",41.14,5,"X",100843324,100874345,-1,1584,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000007968","E2F2",1870,"protein_coding",51.66,2,"1",23506430,23531220,-1,1314,3449,"E2F",FALSE,FALSE,FALSE,FALSE,"G1"
"ENSG00000008018","PSMB1",5689,"protein_coding",39.81,2,"6",170535117,170553341,-1,726,NA,NA,FALSE,FALSE,FALSE,TRUE,NA
